anime_id,title,title_english,title_japanese,title_synonyms,image_url,status,source,episodes,status,airing,release_date,aired,duration,rating,score,scored_by,rank,popularity,members,favorites,premiered,broadcast,producer,licensor,studio,genre,duration_min,release_year,runtime
4814,Junjou Romantica 2,Junjo Romantica 2,純情ロマンチカ2(に),"Junjou Romantica Second Season, Junjyou Romantica II",https://myanimelist.net/images/anime/6/38417.jpg,TV,Manga,12,Finished Airing,False,"Oct 12, 2008","{'from': '2008-10-12', 'to': '2008-12-28'}",24 min. per ep.,PG-13 - Teens 13 or older,0.85609243697479,66565,374.0,0.055160019354392756,108186,1123,Fall 2008,Unknown,frontier works|kadokawa shoten|memory-tech|romantica club !!,nozomi entertainment,studio deen,comedy|drama|romance|shounen ai,24.0,2008.0,288.0
7054,Kaichou wa Maid-sama!,Maid Sama!,会長はメイド様!,Class President is a Maid!,https://myanimelist.net/images/anime/6/25254.jpg,TV,Manga,26,Finished Airing,False,"Apr 2, 2010","{'from': '2010-04-02', 'to': '2010-09-24'}",24 min. per ep.,PG-13 - Teens 13 or older,0.861344537815126,315130,314.0,0.004838598188981821,531292,14436,Spring 2010,Fridays at 01:55 (JST),geneon universal entertainment|tbs|hakusensha|half h.p studio,sentai filmworks,j.c.staff,comedy|romance|school|shoujo,24.0,2010.0,624.0
11123,Sekaiichi Hatsukoi 2,Sekai Ichi Hatsukoi - World&#039;s Greatest First Love 2,世界一初恋 2,"Sekai-ichi Hatsukoi 2, Sekai&#039;ichi Hatsukoi 2",https://myanimelist.net/images/anime/8/34871.jpg,TV,Manga,12,Finished Airing,False,"Oct 8, 2011","{'from': '2011-10-08', 'to': '2011-12-24'}",24 min. per ep.,PG-13 - Teens 13 or older,0.8644957983193278,53285,288.0,0.06525195271998341,89543,726,Fall 2011,Unknown,lantis|kadokawa shoten|at-x|klockworx,funimation,studio deen,comedy|drama|romance|shounen ai,24.0,2011.0,288.0
14227,Tonari no Kaibutsu-kun,My Little Monster,となりの怪物くん,"Tonari no Kaibutsukun, The Monster Next Door, My Neighbor Monster-kun",https://myanimelist.net/images/anime/4/39779.jpg,TV,Manga,13,Finished Airing,False,"Oct 2, 2012","{'from': '2012-10-02', 'to': '2012-12-25'}",24 min. per ep.,PG-13 - Teens 13 or older,0.8098739495798319,281448,1093.0,0.006013686320591691,482105,4064,Fall 2012,Tuesdays at Unknown,tv tokyo|aniplex|nihon ad systems|kodansha,nis america|inc.,brain&#039;s base,slice of life|comedy|romance|school|shoujo,24.0,2012.0,312.0
269,Bleach,Bleach,BLEACH - ブリーチ -,,https://myanimelist.net/images/anime/3/40451.jpg,TV,Manga,366,Finished Airing,False,"Oct 5, 2004","{'from': '2004-10-05', 'to': '2012-03-27'}",24 min. per ep.,PG-13 - Teens 13 or older,0.8298319327731093,433097,693.0,0.0011750881316098707,819284,40718,Fall 2004,Tuesdays at 18:00 (JST),tv tokyo|aniplex|dentsu|tv tokyo music|studio kelmadick|shueisha,viz media,studio pierrot,action|adventure|comedy|super power|supernatural|shounen,24.0,2004.0,8784.0
59,Chobits,Chobits,ちょびっツ,,https://myanimelist.net/images/anime/4/24648.jpg,TV,Manga,26,Finished Airing,False,"Apr 3, 2002","{'from': '2002-04-03', 'to': '2002-09-25'}",24 min. per ep.,PG-13 - Teens 13 or older,0.7909663865546219,175388,1546.0,0.012925969447708578,317641,3271,Spring 2002,Wednesdays at 02:20 (JST),tbs|pioneer ldc,funimation|geneon entertainment usa,madhouse,sci-fi|comedy|drama|romance|ecchi|seinen,24.0,2002.0,624.0
6045,Kimi ni Todoke,Kimi ni Todoke: From Me to You,君に届け,Reaching You,https://myanimelist.net/images/anime/7/17890.jpg,TV,Manga,25,Finished Airing,False,"Oct 7, 2009","{'from': '2009-10-07', 'to': '2010-03-31'}",22 min. per ep.,PG-13 - Teens 13 or older,0.8539915966386555,212710,400.0,0.007603511439828575,417136,8041,Fall 2009,Wednesdays at 00:59 (JST),vap|nippon television network|shueisha,nis america|inc.,production i.g,slice of life|drama|romance|school|shoujo,22.0,2009.0,550.0
1735,Naruto: Shippuuden,Naruto: Shippuden,ナルト- 疾風伝,Naruto Hurricane Chronicles,https://myanimelist.net/images/anime/5/17407.jpg,TV,Manga,500,Finished Airing,False,"Feb 15, 2007","{'from': '2007-02-15', 'to': '2017-03-23'}",23 min. per ep.,PG-13 - Teens 13 or older,0.8592436974789915,385179,337.0,0.0013133337941522085,794112,42846,Winter 2007,Thursdays at 19:30 (JST),tv tokyo|aniplex|kss|rakuonsha|tv tokyo music|shueisha,viz media,studio pierrot,action|adventure|comedy|super power|martial arts|shounen,23.0,2007.0,11500.0
210,Ranma ½,Ranma ½,らんま1/2,"Ranma 1/2, Ranma ½ Nettou Hen",https://myanimelist.net/images/anime/13/6441.jpg,TV,Manga,161,Finished Airing,False,"Apr 15, 1989","{'from': '1989-04-15', 'to': '1992-09-25'}",24 min. per ep.,R+ - Mild Nudity,0.8245798319327731,59911,802.0,0.042994401050667035,134537,2742,Spring 1989,Unknown,shogakukan productions|kitty films|fuji tv|shogakukan,viz media,studio deen,slice of life|comedy|martial arts|fantasy,24.0,1989.0,3864.0
4224,Toradora!,Toradora!,とらドラ！,Tiger X Dragon,https://myanimelist.net/images/anime/13/22128.jpg,TV,Light novel,25,Finished Airing,False,"Oct 2, 2008","{'from': '2008-10-02', 'to': '2009-03-26'}",24 min. per ep.,PG-13 - Teens 13 or older,0.8813025210084034,557898,174.0,0.0008294739752540264,910373,35322,Fall 2008,Thursdays at 01:20 (JST),genco|starchild records|magic capsule|yomiuri advertising|tv tokyo music,nis america|inc.,j.c.staff,slice of life|comedy|romance|school,24.0,2008.0,600.0
10030,Bakuman. 2nd Season,Bakuman.,バクマン。2ndシーズン,Bakuman Season 2,https://myanimelist.net/images/anime/3/34923.jpg,TV,Manga,25,Finished Airing,False,"Oct 1, 2011","{'from': '2011-10-01', 'to': '2012-03-24'}",24 min. per ep.,PG-13 - Teens 13 or older,0.8918067226890757,122090,108.0,0.025782816064145987,201720,1023,Fall 2011,Saturdays at 17:30 (JST),nhk|shueisha,media blasters,j.c.staff,comedy|drama|romance|shounen,24.0,2011.0,600.0
74,Gakuen Alice,Gakuen Alice,学園アリス,"Campus Alice, Alice Academy",https://myanimelist.net/images/anime/4/18118.jpg,TV,Manga,26,Finished Airing,False,"Oct 30, 2004","{'from': '2004-10-30', 'to': '2005-05-14'}",25 min. per ep.,G - All Ages,0.8161764705882353,33244,941.0,0.08916845233980783,62951,1403,Fall 2004,Unknown,aniplex|sogo vision,nozomi entertainment,group tac,comedy|school|shoujo|super power,25.0,2004.0,650.0
4722,Skip Beat!,Skip Beat!,スキップ・ビート！,,https://myanimelist.net/images/anime/11/84022.jpg,TV,Manga,25,Finished Airing,False,"Oct 6, 2008","{'from': '2008-10-06', 'to': '2009-03-30'}",24 min. per ep.,PG-13 - Teens 13 or older,0.865546218487395,90699,282.0,0.033662818829059235,164738,4668,Fall 2008,Mondays at 02:00 (JST),sotsu|pony canyon|hakusensha|tv tokyo music,pied piper,hal film maker,comedy|drama|romance|shoujo,24.0,2008.0,600.0
14397,Chihayafuru 2,,ちはやふる 2,Chihayafull 2,https://myanimelist.net/images/anime/6/47435.jpg,TV,Manga,25,Finished Airing,False,"Jan 12, 2013","{'from': '2013-01-12', 'to': '2013-06-29'}",22 min. per ep.,PG-13 - Teens 13 or older,0.8897058823529412,62720,116.0,0.05225686044100366,114340,1116,Winter 2013,Unknown,vap|nippon television network,sentai filmworks,madhouse,drama|game|josei|school|slice of life|sports,22.0,2013.0,550.0
1557,Shounen Onmyouji,Shonen Onmyoji,少年陰陽師,"The Young Spirit Master, Teenager Onmyoji, Shonen Onmyouji",https://myanimelist.net/images/anime/11/23852.jpg,TV,Light novel,26,Finished Airing,False,"Oct 3, 2006","{'from': '2006-10-03', 'to': '2007-03-13'}",23 min. per ep.,PG-13 - Teens 13 or older,0.8067226890756303,14619,1158.0,0.12386811363793461,39422,274,Fall 2006,Unknown,sotsu|marine entertainment,funimation|geneon entertainment usa,studio deen,action|magic|fantasy|supernatural|demons|historical|shoujo,23.0,2006.0,598.0
10800,Chihayafuru,Chihayafuru,ちはやふる,Chihayafull,https://myanimelist.net/images/anime/3/35749.jpg,TV,Manga,25,Finished Airing,False,"Oct 5, 2011","{'from': '2011-10-05', 'to': '2012-03-28'}",22 min. per ep.,PG-13 - Teens 13 or older,0.870798319327731,89081,246.0,0.023985622451095596,213902,4524,Fall 2011,Wednesdays at Unknown,vap|nippon television network,sentai filmworks,madhouse,drama|game|josei|school|slice of life|sports,22.0,2011.0,550.0
3731,Itazura na Kiss,ItaKiss,イタズラなKiss,"Naughty Kiss, Teasing Kiss, Mischievous Kiss, Itazurana Kiss, It Started With A Kiss",https://myanimelist.net/images/anime/10/19933.jpg,TV,Manga,25,Finished Airing,False,"Apr 5, 2008","{'from': '2008-04-05', 'to': '2008-09-25'}",24 min. per ep.,PG-13 - Teens 13 or older,0.8088235294117647,91187,1108.0,0.032625976359991704,170224,2632,Spring 2008,Saturdays at 02:25 (JST),bandai visual|trinity sound,discotek media,tms entertainment,comedy|romance|shoujo,24.0,2008.0,600.0
9513,Beelzebub,Beelzebub,べるぜバブ,,https://myanimelist.net/images/anime/3/28013.jpg,TV,Manga,60,Finished Airing,False,"Jan 9, 2011","{'from': '2011-01-09', 'to': '2012-03-25'}",24 min. per ep.,PG-13 - Teens 13 or older,0.842436974789916,136105,528.0,0.014308426073131954,302082,3785,Winter 2011,Sundays at Unknown,studio pierrot|dentsu|yomiuri telecasting|shueisha,discotek media,pierrot plus,action|comedy|demons|supernatural|school|shounen,24.0,2011.0,1440.0
5835,Hanasakeru Seishounen,,花咲ける青少年,Hanasakeru Seishonen,https://myanimelist.net/images/anime/6/22695.jpg,TV,Manga,39,Finished Airing,False,"Apr 5, 2009","{'from': '2009-04-05', 'to': '2010-02-14'}",24 min. per ep.,PG-13 - Teens 13 or older,0.8266806722689076,16772,753.0,0.11426004009124213,44633,500,Spring 2009,Unknown,unknown,unknown,studio pierrot,drama|romance|shoujo,24.0,2009.0,936.0
9863,SKET Dance,SKET Dance,スケットダンス,,https://myanimelist.net/images/anime/9/73974.jpg,TV,Manga,77,Finished Airing,False,"Apr 7, 2011","{'from': '2011-04-07', 'to': '2012-09-27'}",24 min. per ep.,PG-13 - Teens 13 or older,0.875,44132,213.0,0.044584226169903915,130264,2474,Spring 2011,Thursdays at 18:00 (JST),tv tokyo|avex entertainment|dentsu,unknown,tatsunoko production,comedy|school|shounen,24.0,2011.0,1848.0
7817,B-gata H-kei,Yamada&#039;s First Time: B Gata H Kei,B型H系,,https://myanimelist.net/images/anime/4/75227.jpg,TV,4-koma manga,12,Finished Airing,False,"Apr 2, 2010","{'from': '2010-04-02', 'to': '2010-06-18'}",24 min. per ep.,R+ - Mild Nudity,0.7457983193277311,142827,3193.0,0.01963088408101196,244791,1641,Spring 2010,Fridays at 01:00 (JST),dentsu|at-x|dax production|happinet pictures|biglobe|shueisha|ag-one|ray,funimation,hal film maker|tyo animations,comedy|romance|ecchi|school|seinen,24.0,2010.0,288.0
966,Crayon Shin-chan,Shin Chan,クレヨンしんちゃん,,https://myanimelist.net/images/anime/10/59897.jpg,TV,Manga,0,Currently Airing,True,"Apr 13, 1992","{'from': '1992-04-13', 'to': None}",21 min.,PG - Children,0.8119747899159664,17683,1032.0,0.13382180134098293,34788,600,Spring 1992,Fridays at 19:30 (JST),tv asahi,funimation,shin-ei animation,slice of life|comedy|ecchi|school|seinen,21.0,1992.0,0.0
120,Fruits Basket,Fruits Basket,フルーツバスケット,Furuba,https://myanimelist.net/images/anime/4/75204.jpg,TV,Manga,26,Finished Airing,False,"Jul 5, 2001","{'from': '2001-07-05', 'to': '2001-12-27'}",24 min. per ep.,PG-13 - Teens 13 or older,0.8161764705882353,167968,939.0,0.015276145710928318,292572,7579,Summer 2001,Thursdays at 18:00 (JST),tv tokyo|nihon ad systems|king records,funimation,studio deen,slice of life|comedy|drama|romance|fantasy|shoujo,24.0,2001.0,624.0
957,Saiunkoku Monogatari,The Story of Saiunkoku,彩雲国物語,"The Tale of Saiun Country, Story of the Land of Many-Colored Clouds, Kokumono, Saimono, ColourCloud Palace",https://myanimelist.net/images/anime/1/957.jpg,TV,Light novel,39,Finished Airing,False,"Apr 8, 2006","{'from': '2006-04-08', 'to': '2007-02-24'}",25 min. per ep.,PG-13 - Teens 13 or older,0.8445378151260503,23467,512.0,0.09068915462777355,61739,1059,Spring 2006,Unknown,nhk|sogo vision,funimation|geneon entertainment usa,madhouse,adventure|fantasy|comedy|romance|historical|drama,25.0,2006.0,975.0
21,One Piece,One Piece,ONE PIECE,OP,https://myanimelist.net/images/anime/6/73245.jpg,TV,Manga,0,Currently Airing,True,"Oct 20, 1999","{'from': '1999-10-20', 'to': None}",24 min.,PG-13 - Teens 13 or older,0.8970588235294117,423868,91.0,0.0023501762632197414,720133,69760,Fall 1999,Sundays at 09:30 (JST),fuji tv|tap|shueisha,funimation|4kids entertainment,toei animation,action|adventure|comedy|super power|drama|fantasy|shounen,24.0,1999.0,0.0
1974,Glass no Kamen (2005),Glass Mask,ガラスの仮面 (2005),,https://myanimelist.net/images/anime/1/2043.jpg,TV,Manga,51,Finished Airing,False,"Apr 6, 2005","{'from': '2005-04-06', 'to': '2006-03-29'}",25 min. per ep.,G - All Ages,0.8592436974789915,7348,333.0,0.17432778046588787,22123,365,Spring 2005,Unknown,tms entertainment|medianet,sentai filmworks,tokyo movie shinsha,drama|shoujo,25.0,2005.0,1275.0
857,Air Gear,Air Gear,エア・ギア,,https://myanimelist.net/images/anime/11/18227.jpg,TV,Manga,25,Finished Airing,False,"Apr 5, 2006","{'from': '2006-04-05', 'to': '2006-09-27'}",24 min. per ep.,R+ - Mild Nudity,0.8025210084033613,126326,1233.0,0.020460358056265983,235764,3254,Spring 2006,Unknown,marvelous|kodansha,adv films|funimation,toei animation,action|comedy|ecchi|shounen|sports,24.0,2006.0,600.0
1914,Saiunkoku Monogatari 2nd Season,Tales of Saiunkoku,彩雲国物語 第2シリーズ,"Saiunmono, Saimono, Saiunkoku Monogatari Dai 2 Series",https://myanimelist.net/images/anime/5/73277.jpg,TV,Light novel,39,Finished Airing,False,"Apr 7, 2007","{'from': '2007-04-07', 'to': '2008-03-08'}",25 min. per ep.,PG-13 - Teens 13 or older,0.8571428571428572,11924,362.0,0.1542821593972489,27481,201,Spring 2007,Unknown,nhk|sogo vision,unknown,madhouse,adventure|comedy|drama|fantasy|historical|romance,25.0,2007.0,975.0
249,InuYasha,InuYasha,犬夜叉,Inu Yasha,https://myanimelist.net/images/anime/8/20483.jpg,TV,Manga,167,Finished Airing,False,"Oct 16, 2000","{'from': '2000-10-16', 'to': '2004-09-13'}",24 min. per ep.,PG-13 - Teens 13 or older,0.8298319327731093,181978,697.0,0.00967719637796364,371313,12282,Fall 2000,Mondays at 19:00 (JST),yomiuri telecasting|shogakukan,viz media,sunrise,action|adventure|comedy|historical|demons|supernatural|magic|romance|fantasy|shounen,24.0,2000.0,4008.0
6645,Chu-Bra!!,Chu-Bra,ちゅーぶら!!,"Chuu Bra!!, Chubra!!, Chuubra!!",https://myanimelist.net/images/anime/1130/91352.jpg,TV,Manga,12,Finished Airing,False,"Jan 4, 2010","{'from': '2010-01-04', 'to': '2010-03-22'}",24 min. per ep.,PG-13 - Teens 13 or older,0.6617647058823529,16688,6380.0,0.1283610976705606,37256,48,Winter 2010,Mondays at 23:30 (JST),gansis,unknown,zexcs,ecchi|comedy|school|seinen,24.0,2010.0,288.0
5690,Nodame Cantabile Finale,,のだめカンタービレ フィナーレ,"Nodame Cantabile Third Season, Nodame Cantabile Season 3, Nodame Cantabile: Finale",https://myanimelist.net/images/anime/4/20712.jpg,TV,Manga,11,Finished Airing,False,"Jan 15, 2010","{'from': '2010-01-15', 'to': '2010-03-26'}",22 min. per ep.,PG-13 - Teens 13 or older,0.8760504201680672,47983,203.0,0.06870809428354185,84808,381,Winter 2010,Fridays at 00:45 (JST),fuji tv|sony music entertainment,unknown,j.c.staff,comedy|josei|music|romance,22.0,2010.0,242.0
1571,Ghost Hunt,Ghost Hunt,ゴーストハント,,https://myanimelist.net/images/anime/11/73908.jpg,TV,Novel,25,Finished Airing,False,"Oct 4, 2006","{'from': '2006-10-04', 'to': '2007-03-28'}",25 min. per ep.,PG-13 - Teens 13 or older,0.8319327731092437,69224,656.0,0.03635860924863482,152490,2579,Fall 2006,Unknown,tv tokyo|avex entertainment|marvelous|delfi sound,funimation,j.c.staff,comedy|horror|mystery|shoujo|supernatural,25.0,2006.0,625.0
11759,Accel World,Accel World,アクセル・ワールド,Accelerated World,https://myanimelist.net/images/anime/8/38155.jpg,TV,Light novel,24,Finished Airing,False,"Apr 7, 2012","{'from': '2012-04-07', 'to': '2012-09-22'}",24 min. per ep.,PG-13 - Teens 13 or older,0.7909663865546219,236083,1545.0,0.007050528789659225,433343,3680,Spring 2012,Saturdays at 00:30 (JST),genco|rakuonsha|warner bros.|flying dog|ascii media works,viz media,sunrise,action|game|sci-fi|romance|school,24.0,2012.0,576.0
7674,Bakuman.,Bakuman.,バクマン。,Bakuman Season 1,https://myanimelist.net/images/anime/6/26138.jpg,TV,Manga,25,Finished Airing,False,"Oct 2, 2010","{'from': '2010-10-02', 'to': '2011-04-02'}",24 min. per ep.,PG-13 - Teens 13 or older,0.8739495798319328,167429,216.0,0.011820004147369875,332666,6846,Fall 2010,Unknown,nhk|shueisha,media blasters|nyav post,j.c.staff,comedy|drama|romance|shounen,24.0,2010.0,600.0
1698,Nodame Cantabile,Nodame Cantabile,のだめカンタービレ,,https://myanimelist.net/images/anime/9/11986.jpg,TV,Manga,23,Finished Airing,False,"Jan 12, 2007","{'from': '2007-01-12', 'to': '2007-06-15'}",22 min. per ep.,PG-13 - Teens 13 or older,0.8834033613445379,87363,163.0,0.02626667588304417,198927,4443,Winter 2007,Fridays at Unknown,dentsu|genco|kodansha|fuji tv|magic capsule|sony music entertainment|fuji pacific music publishing,unknown,j.c.staff,music|slice of life|comedy|drama|romance|josei,22.0,2007.0,506.0
14713,Kamisama Hajimemashita,Kamisama Kiss,神様はじめました,,https://myanimelist.net/images/anime/3/85429.jpg,TV,Manga,13,Finished Airing,False,"Oct 2, 2012","{'from': '2012-10-02', 'to': '2012-12-25'}",24 min. per ep.,PG-13 - Teens 13 or older,0.8550420168067228,138954,383.0,0.017833690467961568,266342,6387,Fall 2012,Tuesdays at 02:05 (JST),tv tokyo|dentsu|sotsu|pony canyon|hakusensha|dax production,funimation,tms entertainment,comedy|demons|supernatural|romance|fantasy|shoujo,24.0,2012.0,312.0
232,Cardcaptor Sakura,Cardcaptor Sakura,カードキャプターさくら,"CCS, Cardcaptors, Card Captor Sakura",https://myanimelist.net/images/anime/8/60781.jpg,TV,Manga,70,Finished Airing,False,"Apr 7, 1998","{'from': '1998-04-07', 'to': '2000-03-21'}",25 min. per ep.,PG - Children,0.8623949579831934,121898,297.0,0.02011474389991014,237669,9453,Spring 1998,Tuesdays at 18:00 (JST),nhk|kodansha|sogo vision|ytv,nelvana|nis america|inc.|geneon entertainment usa,madhouse,adventure|comedy|drama|magic|romance|fantasy|school|shoujo,25.0,1998.0,1750.0
233,Daa! Daa! Daa!,,だぁ! だぁ! だぁ!,"Da!Da!Da!, UFO Baby",https://myanimelist.net/images/anime/3/21166.jpg,TV,Manga,78,Finished Airing,False,"Mar 28, 2000","{'from': '2000-03-28', 'to': '2002-02-26'}",25 min. per ep.,G - All Ages,0.8172268907563025,6598,919.0,0.21040989838943802,15211,216,Spring 2000,Tuesdays at 18:00 (JST),unknown,unknown,j.c.staff,comedy|sci-fi|shoujo,25.0,2000.0,1950.0
9656,Kimi ni Todoke 2nd Season,Kimi ni Todoke: From Me To You 2,君に届け 2ND SEASON,"Kimi ni Todoke: From Me to You 2nd Season, Reaching You 2nd Season",https://myanimelist.net/images/anime/8/27174.jpg,TV,Manga,12,Finished Airing,False,"Jan 12, 2011","{'from': '2011-01-12', 'to': '2011-03-30'}",23 min. per ep.,PG-13 - Teens 13 or older,0.8529411764705882,133548,412.0,0.022188428838045206,224494,1117,Winter 2011,Wednesdays at 00:59 (JST),vap|nippon television network|shueisha,nis america|inc.,production i.g,slice of life|drama|romance|school|shoujo,23.0,2011.0,276.0
9926,Sekaiichi Hatsukoi,Sekai Ichi Hatsukoi - World&#039;s Greatest First Love,世界一初恋 TV,"Sekai-ichi Hatsukoi, Sekai&#039;ichi Hatsukoi, World&#039;s Greatest First Love",https://myanimelist.net/images/anime/6/29763.jpg,TV,Manga,12,Finished Airing,False,"Apr 9, 2011","{'from': '2011-04-09', 'to': '2011-06-25'}",23 min. per ep.,PG-13 - Teens 13 or older,0.8476890756302522,69250,469.0,0.04838598188981821,121752,2908,Spring 2011,Unknown,lantis|kadokawa shoten|at-x|dax production|klockworx,funimation,studio deen,comedy|drama|romance|shounen ai,23.0,2011.0,276.0
2564,Code-E,,CODE-E,,https://myanimelist.net/images/anime/10/57435.jpg,TV,Original,12,Finished Airing,False,"Jul 4, 2007","{'from': '2007-07-04', 'to': '2007-09-19'}",24 min. per ep.,G - All Ages,0.6817226890756303,5866,5635.0,0.22209165687426555,13818,18,Summer 2007,Unknown,nagoya tv housou,unknown,studio deen,comedy|romance|school|sci-fi|slice of life,24.0,2007.0,288.0
3092,Junjou Romantica,Junjo Romantica,純情ロマンチカ,"Junjyou Romantica, Junjou Romantica: Pure Romance",https://myanimelist.net/images/anime/7/8811.jpg,TV,Manga,12,Finished Airing,False,"Apr 11, 2008","{'from': '2008-04-11', 'to': '2008-06-27'}",24 min. per ep.,PG-13 - Teens 13 or older,0.8392857142857143,86423,568.0,0.03919264533075275,146369,4707,Spring 2008,Unknown,frontier works|kadokawa shoten|memory-tech|romantica club !!,nozomi entertainment,studio deen,comedy|drama|romance|shounen ai,24.0,2008.0,288.0
